-4.5	-4.5	182.615005
-4.5	-3.5	215.390457
-4.5	-2.5	252.316727
-4.5	-1.5	289.66629
-4.5	-0.5	326.819489
-4.5	0.5	365.844513
-4.5	1.5	406.904785
-4.5	2.5	447.353027
-4.5	3.5	487.441345
-4.5	4.5	525.571472
-3.5	4.5	515.451294
-3.5	3.5	478.683899
-3.5	2.5	440.654968
-3.5	1.5	402.191162
-3.5	0.5	361.2211
-3.5	-0.5	322.282806
-3.5	-1.5	280.413269
-3.5	-2.5	242.24678
-3.5	-3.5	208.123215
-3.5	-4.5	182.081528
-2.5	-4.5	176.575562
-2.5	-3.5	200.090103
-2.5	-2.5	227.899506
-2.5	-1.5	258.635468
-2.5	-0.5	298.025116
-2.5	0.5	336.910889
-2.5	1.5	381.689667
-2.5	2.5	423.51123
-2.5	3.5	461.76944
-2.5	4.5	497.86734
-1.5	4.5	470.185638
-1.5	3.5	434.367493
-1.5	2.5	394.98761
-1.5	1.5	353.718689
-1.5	0.5	315.86673
-1.5	-0.5	283.467163
-1.5	-1.5	249.246704
-1.5	-2.5	220.508453
-1.5	-3.5	194.16066
-1.5	-4.5	170.235138
-0.5	-4.5	161.780945
-0.5	-3.5	187.409088
-0.5	-2.5	214.913849
-0.5	-1.5	240.568207
-0.5	-0.5	269.240082
-0.5	0.5	301.432709
-0.5	1.5	335.258301
-0.5	2.5	369.519104
-0.5	3.5	403.625916
-0.5	4.5	436.666077
0.5	4.5	402.347687
0.5	3.5	374.037384
0.5	2.5	345.059906
0.5	1.5	314.436493
0.5	0.5	283.955994
0.5	-0.5	255.193085
0.5	-1.5	229.8396
0.5	-2.5	205.051682
0.5	-3.5	178.71225
0.5	-4.5	153.891479
1.5	-4.5	143.080688
1.5	-3.5	161.718475
1.5	-2.5	183.968658
1.5	-1.5	211.119995
1.5	-0.5	238.048828
1.5	0.5	264.152222
1.5	1.5	289.920227
1.5	2.5	317.578979
1.5	3.5	343.784485
1.5	4.5	367.939331
2.5	4.5	333.520599
2.5	3.5	312.471069
2.5	2.5	285.888885
2.5	1.5	267.28299
2.5	0.5	241.75444
2.5	-0.5	214.958572
2.5	-1.5	190.794174
2.5	-2.5	170.433212
2.5	-3.5	152.975479
2.5	-4.5	136.309143
3.5	-4.5	126.794128
3.5	-3.5	142.860687
3.5	-2.5	159.891769
3.5	-1.5	177.670547
3.5	-0.5	193.87294
3.5	0.5	217.77713
3.5	1.5	241.214569
3.5	2.5	263.888214
3.5	3.5	281.143494
3.5	4.5	296.159851
4.5	4.5	254.685013
4.5	3.5	253.544098
4.5	2.5	236.065186
4.5	1.5	215.84465
4.5	0.5	202.42984
4.5	-0.5	182.552582
4.5	-1.5	162.157455
4.5	-2.5	144.001892
4.5	-3.5	127.657738
4.5	-4.5	112.891434
